split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,self_relevant,no_null_confidence_gated_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,1,0.8579363835624327,0.008105428226925771,42,1,1,1,0.024245907870124133,1,1,0,1,1,1,1,1,0,0,0,1,0.785611207751651,0.8437574001756178,2.737250000000003,25,4,0,0.052812789030559276,0.6797049999999999,relational,0.976881434459256,3.1925561456238107e-06,1.3554798550617117e-08,0,0,0,1,0
confirmation,18000,neutral,no_null_confidence_gated_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,0,0.8579363835624327,-0.0014345024617831745,42,1,1,1,0.0007380358776541074,1,1,1,1,1,1,1,1,0,0,0,0,0.7452049124149619,0.7858493080275998,2.737250000000003,26,3,1,0.04331848179323211,0.8415094249999999,relational,0.976881434459256,3.1925561456238107e-06,1.6781531303022113e-08,0,0,0,1,0
confirmation,18001,self_relevant,no_null_confidence_gated_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.8950901741027311,0.013721540814896578,44,1,1,1,0.027798660120555995,1,1,0,1,1,1,1,1,0,0,0,1,0.7688343492820631,0.8587221068357808,2.830949999999999,26,3,0,0.004021003191757564,0.8415094249999999,relational,0.9994186099937885,0.011428010819069016,1.005882981348937e-06,0,0,0,1,0
confirmation,18001,neutral,no_null_confidence_gated_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,223,223,1,0,0,1,0,0.8950901741027311,-0.0037847266348974913,44,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.7579042449476887,0.8057276464153499,2.830949999999999,27,3,1,0.0023661958257917342,1.0,relational,0.9994186099937885,0.011428010819069016,1.1953318067102305e-06,0,0,0,1,0
confirmation,18002,self_relevant,no_null_confidence_gated_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.05384615384615385,1,206,206,1,0,0,1,1,0.7731486966713275,0.012182105905697727,44,1,1,1,0.024213635458644425,1,1,0,1,1,1,1,1,0,0,0,1,0.7629311071257066,0.8099633315510504,2.737250000000003,27,3,1,0.006053903302969685,1.0,relational,0.9986554627252973,0.322925090098512,7.853579726039359e-05,0,0,0,1,0
confirmation,18002,neutral,no_null_confidence_gated_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.05384615384615385,1,206,206,1,0,0,1,0,0.7731486966713275,0.0006356028264047865,44,1,1,1,0.0007380358776541074,1,1,1,1,1,1,1,1,0,0,0,0,0.6980180986632183,0.7528715209073653,2.737250000000003,28,3,0,0.004787738293795979,1.0,relational,0.9986554627252973,0.322925090098512,7.853579726039359e-05,0,0,0,1,0
confirmation,18003,self_relevant,no_null_confidence_gated_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,223,223,1,0,0,0,0,0.9765968537649762,-0.0021111793675771475,42,1,1,1,0.0,1,1,0,1,1,1,1,1,0,0,0,1,0.7689661933559958,0.8433473062437558,2.830949999999999,28,3,0,0.039017166301077544,1.0,relational,0.991634041328178,0.00027702024900081704,5.32201532715428e-07,0,0,0,1,0
confirmation,18003,neutral,no_null_confidence_gated_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,223,223,1,0,0,0,0,0.9765968537649762,-0.0007318791247850082,42,1,1,1,0.0,1,1,1,1,0,1,1,0,0,0,0,0,0.5245090243657247,0.7517057733869178,2.830949999999999,29,3,1,0.030194624492512964,1.0,relational,0.991634041328178,0.00027702024900081704,5.32201532715428e-07,0,0,0,1,0
confirmation,18004,self_relevant,no_null_confidence_gated_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,1,0.7773764373038325,0.009617479206256675,44,1,1,1,0.02735433060872122,1,1,0,1,1,1,1,1,0,0,0,1,0.7542549191381629,0.8459608183678388,2.737250000000003,29,3,1,0.006456859499414292,1.0,relational,0.9983390138328008,0.25646973115745175,8.17569997382567e-05,0,0,0,1,0
confirmation,18004,neutral,no_null_confidence_gated_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,0,0.7773764373038325,4.82925101221816e-05,43,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6956918921583247,0.8088820474652776,2.737250000000003,30,3,1,0.00559547400555495,1.0,relational,0.9983390138328008,0.25646973115745175,8.17569997382567e-05,0,0,0,1,0
confirmation,18005,self_relevant,no_null_confidence_gated_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,223,223,1,0,0,0,0,0.9860442505874321,0.0010799184503509122,42,1,1,1,5.775035233429998e-06,1,1,0,1,1,1,1,1,0,0,0,1,0.7868983232370689,0.8463896222757022,2.830949999999999,30,3,0,0.04138407623862957,1.0,relational,0.9947042399321162,0.00027124318732275513,2.9863384600120723e-07,0,0,0,1,0
confirmation,18005,neutral,no_null_confidence_gated_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,234,234,1,0,0,1,0,0.8455636708963263,-0.004944397212343183,45,1,1,1,0.000795151272014852,1,1,1,1,1,1,1,1,0,0,0,0,0.7091128086139911,0.7972466990861222,2.830949999999999,31,3,1,0.034216294336889344,1.0,relational,0.9947042399321162,0.00027124318732275513,2.9863384600120723e-07,0,0,0,1,0
confirmation,18006,self_relevant,no_null_confidence_gated_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,202,202,1,0,0,0,0,0.6993751780447541,-0.0007759850215952602,44,1,1,1,0.0,1,1,0,1,1,1,1,1,0,0,0,1,0.7768119027610969,0.820011684908667,2.737250000000003,31,3,0,0.0013287003316096691,1.0,relational,0.9992316016460633,0.8292483718855355,0.00011614820906075131,0,0,0,1,0
confirmation,18006,neutral,no_null_confidence_gated_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,41,0.052564102564102565,1,202,202,1,0,0,0,0,0.6993751780447541,0.00024136019761604108,44,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6304520887025641,0.755781416909892,2.737250000000003,32,3,0,0.0015108799925345495,1.0,relational,0.9992316016460633,0.8292483718855355,0.00011614820906075131,0,0,0,1,0
