mode,relevance,runs,organization_restored,false_repair,explicit_no_bridge,unique_sequences_evaluated,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,mapping_trust,alignment_entropy
confidence_gated_relational_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,2.641358211508103e-05,0.9901604145439762
confidence_gated_relational_generation,neutral,40,0.0,0.0,0.975,45.125,0.0,0.0,0.0,2.6404298716518525e-05,0.9902916628294033
ungated_relational_generation,self_relevant,40,0.95,0.0,0.0,59.325,0.45,0.45,0.0,0.0,0.0
ungated_relational_generation,neutral,40,0.0,0.0,0.85,60.175,0.675,0.675,0.125,0.0,0.0
reset_actual_generation,self_relevant,40,0.975,0.0,0.0,57.275,0.0,0.0,0.0,0.0,0.0
reset_actual_generation,neutral,40,0.0,0.0,0.875,57.275,0.0,0.0,0.0,0.0,0.0
sparse_reset_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,0.0,0.0
sparse_reset_generation,neutral,40,0.0,0.0,0.975,45.125,0.0,0.0,0.0,0.0,0.0
posterior_no_quarantine_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,2.641358211508103e-05,0.9901604145439762
posterior_no_quarantine_generation,neutral,40,0.0,0.0,0.975,45.125,0.0,0.0,0.0,2.6404298716518525e-05,0.9902916628294033
quarantine_no_local_reservation_generation,self_relevant,40,0.525,0.0,0.0,44.675,0.85,0.85,0.0,2.5105406646686502e-05,0.9901604145439762
quarantine_no_local_reservation_generation,neutral,40,0.0,0.0,0.475,44.225,0.825,0.825,0.075,2.5526857457872337e-05,0.9902916628294033
frozen_correct_memory_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,1.7956771602734664e-05,0.9901604145439762
frozen_correct_memory_generation,neutral,40,0.0,0.0,0.975,45.125,0.0,0.0,0.0,1.7956771602734664e-05,0.9901604145439762
adversarial_wrong_memory_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,2.641847802021796e-05,0.9901604145439762
adversarial_wrong_memory_generation,neutral,40,0.0,0.0,0.975,45.125,0.0,0.0,0.0,2.6404377732702613e-05,0.9902916628294033
oracle_family_generation,self_relevant,40,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oracle_family_generation,neutral,40,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
no_null_confidence_gated_generation,self_relevant,40,1.0,0.0,0.0,45.125,0.0,0.0,0.0,2.641358211508103e-05,0.9901604145439762
no_null_confidence_gated_generation,neutral,40,0.95,1.0,0.0,45.125,0.0,0.0,0.0,2.6404298716518525e-05,0.9902916628294033
