world,contrast,metric,n_pairs,mean_difference,ci_lower,ci_upper,preferred_direction,interpretation,bootstrap_seed,bootstrap_replicates
self_relevant,actual_need-correlation_self_model,bridge_decision_correct,72,0.2638888888888889,0.125,0.4027777777777778,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-correlation_self_model,causal_target_sensing_share,72,0.12004662004662,0.0826291763791763,0.1587758595571097,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-correlation_self_model,core_precision,72,0.4810295414462081,0.456561648228315,0.5050556156806157,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-correlation_self_model,core_recall,72,0.0199074074074074,-0.0069444444444444,0.0504629629629629,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-correlation_self_model,replicated_restoration,72,0.3333333333333333,0.2222222222222222,0.4583333333333333,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_bridge_validation,decision_correct,72,0.2638888888888889,0.1805555555555555,0.3472222222222222,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_bridge_validation,explicit_no_bridge,72,0.25,0.1666666666666666,0.3472222222222222,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_bridge_validation,false_repair,72,-0.2638888888888889,-0.3472222222222222,-0.1805555555555555,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_bridge_validation,organization_restored,72,-0.25,-0.3333333333333333,-0.1666666666666666,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_bridge_validation,repair_attempted,72,-0.2638888888888889,-0.3472222222222222,-0.1805555555555555,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null,decision_correct,72,0.0,0.0,0.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null,diagnosis_made,72,0.9861111111111112,0.9583333333333334,1.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null,explicit_no_bridge,72,0.9861111111111112,0.9583333333333334,1.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null,false_repair,72,0.0,0.0,0.0,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null,repair_attempted,72,0.0,0.0,0.0,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null_no_validation,decision_correct,72,1.0,1.0,1.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null_no_validation,explicit_no_bridge,72,0.9861111111111112,0.9583333333333334,1.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null_no_validation,false_repair,72,-1.0,-1.0,-1.0,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null_no_validation,organization_restored,72,-0.9722222222222222,-1.0,-0.9305555555555556,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
neutral,actual_need-no_null_no_validation,repair_attempted,72,-1.0,-1.0,-1.0,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-pair_limited,bridge_decision_correct,72,0.6111111111111112,0.5138888888888888,0.7083333333333334,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-pair_limited,diagnosis_observations,72,-283.09722222222223,-292.81944444444446,-272.625,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-pair_limited,exact_program,72,0.7777777777777778,0.6805555555555556,0.8611111111111112,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-pair_limited,functional_program,72,0.7777777777777778,0.6805555555555556,0.8611111111111112,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-pair_limited,replicated_restoration,72,0.5694444444444444,0.4583333333333333,0.6805555555555556,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-passive_only,bridge_decision_correct,72,0.6111111111111112,0.5138888888888888,0.7083333333333334,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-passive_only,diagnosis_made,72,1.0,1.0,1.0,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-passive_only,diagnosis_observations,72,-283.09722222222223,-292.81944444444446,-272.625,negative_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
self_relevant,actual_need-passive_only,replicated_restoration,72,0.5694444444444444,0.4583333333333333,0.6805555555555556,positive_for_actual,descriptive_ablation_only_no_general_necessity_claim,941731,50000
