mode,relevance,primitive_cardinality,nonstationary,runs,organization_restored,false_repair,unique_sequences_evaluated,memory_changed_action
adversarial_wrong_memory_generation,neutral,5,0,20,0.0,0.0,41.25,0.0
adversarial_wrong_memory_generation,neutral,7,0,10,0.0,0.0,49.0,0.0
adversarial_wrong_memory_generation,neutral,7,1,10,0.0,0.0,49.0,0.0
adversarial_wrong_memory_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
adversarial_wrong_memory_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
adversarial_wrong_memory_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
confidence_gated_relational_generation,neutral,5,0,20,0.0,0.0,41.25,0.0
confidence_gated_relational_generation,neutral,7,0,10,0.0,0.0,49.0,0.0
confidence_gated_relational_generation,neutral,7,1,10,0.0,0.0,49.0,0.0
confidence_gated_relational_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
confidence_gated_relational_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
confidence_gated_relational_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
frozen_correct_memory_generation,neutral,5,0,20,0.0,0.0,41.25,0.0
frozen_correct_memory_generation,neutral,7,0,10,0.0,0.0,49.0,0.0
frozen_correct_memory_generation,neutral,7,1,10,0.0,0.0,49.0,0.0
frozen_correct_memory_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
frozen_correct_memory_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
frozen_correct_memory_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
no_null_confidence_gated_generation,neutral,5,0,20,0.95,1.0,41.25,0.0
no_null_confidence_gated_generation,neutral,7,0,10,1.0,1.0,49.0,0.0
no_null_confidence_gated_generation,neutral,7,1,10,0.9,1.0,49.0,0.0
no_null_confidence_gated_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
no_null_confidence_gated_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
no_null_confidence_gated_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
oracle_family_generation,neutral,5,0,20,0.0,0.0,1.0,0.0
oracle_family_generation,neutral,7,0,10,0.0,0.0,1.0,0.0
oracle_family_generation,neutral,7,1,10,0.0,0.0,1.0,0.0
oracle_family_generation,self_relevant,5,0,20,1.0,0.0,1.0,0.0
oracle_family_generation,self_relevant,7,0,10,1.0,0.0,1.0,0.0
oracle_family_generation,self_relevant,7,1,10,1.0,0.0,1.0,0.0
posterior_no_quarantine_generation,neutral,5,0,20,0.0,0.0,41.25,0.0
posterior_no_quarantine_generation,neutral,7,0,10,0.0,0.0,49.0,0.0
posterior_no_quarantine_generation,neutral,7,1,10,0.0,0.0,49.0,0.0
posterior_no_quarantine_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
posterior_no_quarantine_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
posterior_no_quarantine_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
quarantine_no_local_reservation_generation,neutral,5,0,20,0.0,0.0,37.8,0.65
quarantine_no_local_reservation_generation,neutral,7,0,10,0.0,0.0,48.2,1.0
quarantine_no_local_reservation_generation,neutral,7,1,10,0.0,0.0,53.1,1.0
quarantine_no_local_reservation_generation,self_relevant,5,0,20,0.9,0.0,38.95,0.7
quarantine_no_local_reservation_generation,self_relevant,7,0,10,0.2,0.0,47.8,1.0
quarantine_no_local_reservation_generation,self_relevant,7,1,10,0.1,0.0,53.0,1.0
reset_actual_generation,neutral,5,0,20,0.0,0.0,44.55,0.0
reset_actual_generation,neutral,7,0,10,0.0,0.0,70.0,0.0
reset_actual_generation,neutral,7,1,10,0.0,0.0,70.0,0.0
reset_actual_generation,self_relevant,5,0,20,1.0,0.0,44.55,0.0
reset_actual_generation,self_relevant,7,0,10,1.0,0.0,70.0,0.0
reset_actual_generation,self_relevant,7,1,10,0.9,0.0,70.0,0.0
sparse_reset_generation,neutral,5,0,20,0.0,0.0,41.25,0.0
sparse_reset_generation,neutral,7,0,10,0.0,0.0,49.0,0.0
sparse_reset_generation,neutral,7,1,10,0.0,0.0,49.0,0.0
sparse_reset_generation,self_relevant,5,0,20,1.0,0.0,41.25,0.0
sparse_reset_generation,self_relevant,7,0,10,1.0,0.0,49.0,0.0
sparse_reset_generation,self_relevant,7,1,10,1.0,0.0,49.0,0.0
ungated_relational_generation,neutral,5,0,20,0.0,0.0,46.45,0.4
ungated_relational_generation,neutral,7,0,10,0.0,0.0,74.2,1.0
ungated_relational_generation,neutral,7,1,10,0.0,0.0,73.6,0.9
ungated_relational_generation,self_relevant,5,0,20,0.95,0.0,46.35,0.4
ungated_relational_generation,self_relevant,7,0,10,1.0,0.0,73.2,0.7
ungated_relational_generation,self_relevant,7,1,10,0.9,0.0,71.4,0.3
