chunk_id,phase,family,seeds,relevance,conditions,common_decoder,expected_source_rows
P000,primary,primary_self_actual_yoked,"30000,30001,30002,30003,30004,30005",self_relevant,"actual_need,yoked_need",1,12
P001,primary,primary_self_controls,"30000,30001,30002,30003,30004,30005",self_relevant,"curiosity,no_need",0,12
P002,primary,primary_neutral_actual_yoked,"30000,30001,30002,30003,30004,30005",neutral,"actual_need,yoked_need",1,12
P003,primary,primary_neutral_controls,"30000,30001,30002,30003,30004,30005",neutral,"curiosity,no_need",0,12
P004,primary,primary_self_actual_yoked,"30006,30007,30008,30009,30010,30011",self_relevant,"actual_need,yoked_need",1,12
P005,primary,primary_self_controls,"30006,30007,30008,30009,30010,30011",self_relevant,"curiosity,no_need",0,12
P006,primary,primary_neutral_actual_yoked,"30006,30007,30008,30009,30010,30011",neutral,"actual_need,yoked_need",1,12
P007,primary,primary_neutral_controls,"30006,30007,30008,30009,30010,30011",neutral,"curiosity,no_need",0,12
P008,primary,primary_self_actual_yoked,"30012,30013,30014,30015,30016,30017",self_relevant,"actual_need,yoked_need",1,12
P009,primary,primary_self_controls,"30012,30013,30014,30015,30016,30017",self_relevant,"curiosity,no_need",0,12
P010,primary,primary_neutral_actual_yoked,"30012,30013,30014,30015,30016,30017",neutral,"actual_need,yoked_need",1,12
P011,primary,primary_neutral_controls,"30012,30013,30014,30015,30016,30017",neutral,"curiosity,no_need",0,12
P012,primary,primary_self_actual_yoked,"30018,30019,30020,30021,30022,30023",self_relevant,"actual_need,yoked_need",1,12
P013,primary,primary_self_controls,"30018,30019,30020,30021,30022,30023",self_relevant,"curiosity,no_need",0,12
P014,primary,primary_neutral_actual_yoked,"30018,30019,30020,30021,30022,30023",neutral,"actual_need,yoked_need",1,12
P015,primary,primary_neutral_controls,"30018,30019,30020,30021,30022,30023",neutral,"curiosity,no_need",0,12
P016,primary,primary_self_actual_yoked,"30024,30025,30026,30027,30028,30029",self_relevant,"actual_need,yoked_need",1,12
P017,primary,primary_self_controls,"30024,30025,30026,30027,30028,30029",self_relevant,"curiosity,no_need",0,12
P018,primary,primary_neutral_actual_yoked,"30024,30025,30026,30027,30028,30029",neutral,"actual_need,yoked_need",1,12
P019,primary,primary_neutral_controls,"30024,30025,30026,30027,30028,30029",neutral,"curiosity,no_need",0,12
P020,primary,primary_self_actual_yoked,"30030,30031,30032,30033,30034,30035",self_relevant,"actual_need,yoked_need",1,12
P021,primary,primary_self_controls,"30030,30031,30032,30033,30034,30035",self_relevant,"curiosity,no_need",0,12
P022,primary,primary_neutral_actual_yoked,"30030,30031,30032,30033,30034,30035",neutral,"actual_need,yoked_need",1,12
P023,primary,primary_neutral_controls,"30030,30031,30032,30033,30034,30035",neutral,"curiosity,no_need",0,12
P024,primary,primary_self_actual_yoked,"30036,30037,30038,30039,30040,30041",self_relevant,"actual_need,yoked_need",1,12
P025,primary,primary_self_controls,"30036,30037,30038,30039,30040,30041",self_relevant,"curiosity,no_need",0,12
P026,primary,primary_neutral_actual_yoked,"30036,30037,30038,30039,30040,30041",neutral,"actual_need,yoked_need",1,12
P027,primary,primary_neutral_controls,"30036,30037,30038,30039,30040,30041",neutral,"curiosity,no_need",0,12
P028,primary,primary_self_actual_yoked,"30042,30043,30044,30045,30046,30047",self_relevant,"actual_need,yoked_need",1,12
P029,primary,primary_self_controls,"30042,30043,30044,30045,30046,30047",self_relevant,"curiosity,no_need",0,12
P030,primary,primary_neutral_actual_yoked,"30042,30043,30044,30045,30046,30047",neutral,"actual_need,yoked_need",1,12
P031,primary,primary_neutral_controls,"30042,30043,30044,30045,30046,30047",neutral,"curiosity,no_need",0,12
P032,primary,primary_self_actual_yoked,"30048,30049,30050,30051,30052,30053",self_relevant,"actual_need,yoked_need",1,12
P033,primary,primary_self_controls,"30048,30049,30050,30051,30052,30053",self_relevant,"curiosity,no_need",0,12
P034,primary,primary_neutral_actual_yoked,"30048,30049,30050,30051,30052,30053",neutral,"actual_need,yoked_need",1,12
P035,primary,primary_neutral_controls,"30048,30049,30050,30051,30052,30053",neutral,"curiosity,no_need",0,12
P036,primary,primary_self_actual_yoked,"30054,30055,30056,30057,30058,30059",self_relevant,"actual_need,yoked_need",1,12
P037,primary,primary_self_controls,"30054,30055,30056,30057,30058,30059",self_relevant,"curiosity,no_need",0,12
P038,primary,primary_neutral_actual_yoked,"30054,30055,30056,30057,30058,30059",neutral,"actual_need,yoked_need",1,12
P039,primary,primary_neutral_controls,"30054,30055,30056,30057,30058,30059",neutral,"curiosity,no_need",0,12
P040,primary,primary_self_actual_yoked,"30060,30061,30062,30063,30064,30065",self_relevant,"actual_need,yoked_need",1,12
P041,primary,primary_self_controls,"30060,30061,30062,30063,30064,30065",self_relevant,"curiosity,no_need",0,12
P042,primary,primary_neutral_actual_yoked,"30060,30061,30062,30063,30064,30065",neutral,"actual_need,yoked_need",1,12
P043,primary,primary_neutral_controls,"30060,30061,30062,30063,30064,30065",neutral,"curiosity,no_need",0,12
P044,primary,primary_self_actual_yoked,"30066,30067,30068,30069,30070,30071",self_relevant,"actual_need,yoked_need",1,12
P045,primary,primary_self_controls,"30066,30067,30068,30069,30070,30071",self_relevant,"curiosity,no_need",0,12
P046,primary,primary_neutral_actual_yoked,"30066,30067,30068,30069,30070,30071",neutral,"actual_need,yoked_need",1,12
P047,primary,primary_neutral_controls,"30066,30067,30068,30069,30070,30071",neutral,"curiosity,no_need",0,12
