split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,self_relevant,ungated_relational_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,44,0.05641025641025641,1,218,218,1,0,0,1,1,0.8591773173472421,0.00762164618205163,44,1,1,1,0.026568279425154356,1,1,0,1,1,1,0,0,0,0,0,1,0.7759462275232286,0.8329403374702711,2.740700000000003,25,4,0,0.053602442549169745,0.6797049999999999,relational,0.0,0.0,0.0,0,0,0,1,0
confirmation,18000,neutral,ungated_relational_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,44,0.05641025641025641,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.7308026977983393,0.769850282156679,2.660300000000003,26,3,0,0.052726808328916276,0.8415094249999999,relational,0.0,0.0,0.0,0,0,0,1,0
confirmation,18001,self_relevant,ungated_relational_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,74,0.02642857142857143,1,272,272,1,0,0,1,1,0.9130684302497778,0.011234498610517858,44,1,1,1,0.03032710208394313,1,1,0,1,1,1,1,1,0,0,0,1,0.7028855073224705,0.8256000599993557,2.881649999999997,26,3,0,0.004543093939884871,0.8415094249999999,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18001,neutral,ungated_relational_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,74,0.02642857142857143,1,272,281,0,1,0,1,1,0.9130684302497778,-0.0027058789996016203,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7429319940439723,0.7936269918917098,2.799249999999997,26,3,0,0.029555785018481204,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18002,self_relevant,ungated_relational_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,51,0.06538461538461539,1,227,227,1,0,0,1,1,0.7783500651671215,0.009433150134359799,46,1,1,1,0.02662829461846318,1,1,0,1,1,1,1,1,0,0,0,1,0.7671486717050038,0.822208254769588,2.7843000000000027,26,3,1,0.00550456762036145,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18002,neutral,ungated_relational_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,51,0.06538461538461539,1,227,281,0,1,0,1,1,0.7786324199087442,-0.004031449576650863,46,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6862152270669667,0.7397394591353358,2.7283000000000026,27,3,1,0.0052458625631916075,1.0,relational,0.0,0.0,0.0,1,1,1,1,0
confirmation,18003,self_relevant,ungated_relational_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8356146573170379,0.012464456156785516,46,1,1,1,0.03008337539132749,1,1,0,1,1,1,1,1,0,0,0,1,0.7475143489353231,0.831042912181228,2.8435499999999974,27,3,0,0.04423752425398947,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
confirmation,18003,neutral,ungated_relational_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,74,0.02642857142857143,1,276,281,0,1,0,0,1,0.9736622272901732,-0.002795713567099335,45,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5016547146707911,0.7351296980808565,2.799249999999997,27,3,0,0.007546702593730035,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18004,self_relevant,ungated_relational_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,49,0.06282051282051282,1,227,227,1,0,0,1,1,0.7824052542919387,0.008245336434516385,45,1,1,1,0.024636126306749,1,1,0,1,1,1,1,1,0,0,0,1,0.7612159347724102,0.8514737844575626,2.7843000000000027,27,3,1,0.005578085606689497,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18004,neutral,ungated_relational_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,49,0.06282051282051282,1,239,281,0,1,0,1,1,0.7866866264506045,-0.007070830304480122,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6597194681420142,0.7906223860187007,2.7039000000000026,28,3,1,0.0053372103528359395,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18005,self_relevant,ungated_relational_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,251,251,1,0,0,1,1,0.8338681420302001,0.013201877663455118,46,1,1,1,0.02898920513395351,1,1,0,1,1,1,1,1,0,0,0,1,0.7862387475664606,0.8399703222752394,2.8435499999999974,28,3,0,0.047235729523136455,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
confirmation,18005,neutral,ungated_relational_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,0,0,4,74,0.02642857142857143,1,276,281,0,1,0,0,1,0.9761087158554455,-0.00701482262364245,45,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6828330939973893,0.7731881354210893,2.799249999999997,28,3,0,0.00802566766665037,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18006,self_relevant,ungated_relational_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,50,0.0641025641025641,1,223,223,1,0,0,1,1,0.7103939292908122,0.017381623508444837,46,1,1,1,0.02548456414167631,1,1,0,1,1,1,1,1,0,0,0,1,0.7786470927109288,0.8237107865843372,2.7843000000000027,28,3,1,0.0012458776377186637,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18006,neutral,ungated_relational_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,50,0.0641025641025641,1,250,281,0,1,0,1,1,0.7357678086940833,0.0018124753255615786,54,1,1,0,0.00027685214049496507,0,0,0,0,0,0,0,0,0,1,1,1,0.6171446821276677,0.7408035585487136,2.7283000000000026,29,3,1,0.0011563750090411355,1.0,relational,0.0,0.0,0.0,1,1,1,1,0
confirmation,18007,self_relevant,ungated_relational_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,70,0.025,1,246,246,1,0,0,1,1,0.9833495111454869,0.010251968981158169,44,1,1,1,0.03008337539132749,1,1,0,1,1,1,1,1,0,0,0,1,0.7713992878009628,0.854670194195101,2.8204499999999975,29,3,0,0.044671434077911104,1.0,relational,0.0,0.0,0.0,0,0,0,1,0
confirmation,18007,neutral,ungated_relational_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,74,0.02642857142857143,1,267,281,0,1,0,1,1,0.9767807220897433,-0.0022898520868866496,45,1,1,0,0.00013740549585440544,0,0,0,0,0,0,0,0,0,1,1,1,0.6686900582138153,0.7711687287297077,2.8005499999999968,29,3,0,0.008485235842028867,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18008,self_relevant,ungated_relational_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,50,0.0641025641025641,1,223,223,1,0,0,1,1,0.6989678048342804,0.005325693055148866,46,1,1,1,0.02532307700180894,1,1,0,1,1,1,1,1,0,0,0,1,0.7244066167583176,0.8144496406023423,2.7843000000000027,29,3,1,0.005285719743743818,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18008,neutral,ungated_relational_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,50,0.0641025641025641,1,227,281,0,1,0,0,1,0.7867831203792004,0.0007457674546973679,46,1,1,0,0.00027685214049496507,0,0,0,0,0,0,0,0,0,1,1,1,0.560468171108362,0.7417983807982944,2.7283000000000026,30,3,1,0.0052281515556908105,1.0,relational,0.0,0.0,0.0,1,1,1,1,0
confirmation,18009,self_relevant,ungated_relational_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,76,0.027142857142857142,1,260,260,1,0,0,1,1,0.827463896544054,0.007373565835565558,44,1,1,1,0.029970646846327175,1,1,0,1,1,1,1,1,0,0,0,1,0.7342383547230937,0.8280821833023683,2.881649999999997,30,3,1,0.0008463951509182549,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18009,neutral,ungated_relational_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,74,0.02642857142857143,1,276,281,0,1,0,1,1,0.8474553546223321,-0.004847965345022579,47,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6169149543634489,0.7693044214035294,2.799249999999997,30,3,0,0.007037396459842818,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
confirmation,18010,self_relevant,ungated_relational_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,0,0,4,49,0.06282051282051282,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.6454980036657825,0.7335794375651881,2.7039000000000026,30,3,1,0.005771076089614813,1.0,relational,0.0,0.0,0.0,1,1,0,1,0
