contrast,mode_a,mode_b,relevance,metric,difference,ci_low,ci_high
main_minus_full_reset_restoration,confidence_gated_relational_generation,reset_actual_generation,self_relevant,organization_restored,0.025,0.0,0.075
main_minus_sparse_reset_restoration,confidence_gated_relational_generation,sparse_reset_generation,self_relevant,organization_restored,0.0,0.0,0.0
main_minus_ungated_restoration,confidence_gated_relational_generation,ungated_relational_generation,self_relevant,organization_restored,0.05,0.0,0.125
main_minus_no_local_reservation_restoration,confidence_gated_relational_generation,quarantine_no_local_reservation_generation,self_relevant,organization_restored,0.475,0.325,0.625
main_minus_frozen_memory_restoration,confidence_gated_relational_generation,frozen_correct_memory_generation,self_relevant,organization_restored,0.0,0.0,0.0
main_minus_full_reset_sequences,confidence_gated_relational_generation,reset_actual_generation,self_relevant,unique_sequences_evaluated,-12.15,-14.875,-9.449375000000053
main_minus_sparse_reset_sequences,confidence_gated_relational_generation,sparse_reset_generation,self_relevant,unique_sequences_evaluated,0.0,0.0,0.0
main_minus_forced_positive_false_repair,confidence_gated_relational_generation,no_null_confidence_gated_generation,neutral,false_repair,-1.0,-1.0,-1.0
main_relative_sequence_reduction_vs_full_reset,confidence_gated_relational_generation,reset_actual_generation,self_relevant,relative_sequence_reduction,0.2121344391095591,0.1766341460745475,0.24293351311817787
main_relative_sequence_reduction_vs_sparse_reset,confidence_gated_relational_generation,sparse_reset_generation,self_relevant,relative_sequence_reduction,0.0,0.0,0.0
