split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,self_relevant,quarantine_no_local_reservation_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,36,0.046153846153846156,1,197,197,1,0,0,1,1,0.8590908542250232,0.008057325930661281,44,1,1,1,0.02673346122470974,1,1,0,1,1,1,1,1,0,0,0,1,0.7783242658375021,0.8236948082715024,2.676500000000003,25,4,0,0.05327734298926353,0.6797049999999999,relational,0.976881434459256,3.1925561456238107e-06,1.3554798550617117e-08,1,1,0,1,0
confirmation,18000,neutral,quarantine_no_local_reservation_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,32,0.041025641025641026,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.7266583570371534,0.7640204081340883,2.6759500000000007,26,3,1,0.04331848179323211,0.8415094249999999,relational,0.976881434459256,3.1925561456238107e-06,1.6781531303022113e-08,1,1,0,1,0
confirmation,18001,self_relevant,quarantine_no_local_reservation_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,0,0,4,47,0.016785714285714286,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7089143607843896,0.7733233108005044,2.72545,26,3,0,0.003503996526112472,0.8415094249999999,relational,0.9994186099937885,0.011428010819069016,1.005882981348937e-06,1,1,0,1,0
confirmation,18001,neutral,quarantine_no_local_reservation_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,0,0,4,47,0.016785714285714286,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.7438091289286523,0.7933661508748865,2.72545,26,3,0,0.003503996526112472,0.8040565951249999,relational,0.9994186099937885,0.011428010819069016,9.611144225480426e-07,1,1,0,1,0
confirmation,18002,self_relevant,quarantine_no_local_reservation_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,34,0.04358974358974359,1,197,197,1,0,0,1,1,0.7835188938278134,0.009379486164406342,46,1,1,1,0.026699502620935595,1,1,0,1,1,1,1,1,0,0,0,1,0.7726699826547937,0.8218198476837559,2.6771500000000032,26,3,1,0.005656486390431914,0.8040565951249999,relational,0.9986554627252973,0.322925090098512,6.314722574061936e-05,1,1,0,1,0
confirmation,18002,neutral,quarantine_no_local_reservation_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,34,0.04358974358974359,1,234,281,0,1,0,1,1,0.8022645564244932,0.0013745106830191506,62,1,1,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6885684046561826,0.7423127062903762,2.621150000000003,27,3,0,0.004787738293795979,0.963995746198125,relational,0.9986554627252973,0.322925090098512,7.570817448329777e-05,1,1,1,1,1
confirmation,18003,self_relevant,quarantine_no_local_reservation_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,51,0.018214285714285714,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.7037368772537081,0.7745631096437732,2.7303499999999996,27,3,0,0.039017166301077544,0.963995746198125,relational,0.991634041328178,0.00027702024900081704,5.130400136577949e-07,1,1,0,1,1
confirmation,18003,neutral,quarantine_no_local_reservation_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,51,0.018214285714285714,0,281,281,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.5005549518475392,0.729353580785198,2.7303499999999996,27,3,0,0.039017166301077544,0.9222558950811905,relational,0.991634041328178,0.00027702024900081704,4.908260009180486e-07,1,1,0,1,1
confirmation,18004,self_relevant,quarantine_no_local_reservation_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,39,0.05,1,206,206,1,0,0,1,1,0.7818940887646108,0.006752384665375149,46,1,1,1,0.02735433060872122,1,1,0,1,1,1,1,1,0,0,0,1,0.7579239601372403,0.849401983990451,2.7086000000000032,27,3,1,0.0066637369761718005,0.9222558950811905,relational,0.9983390138328008,0.25646973115745175,7.54008749727586e-05,1,1,0,1,1
confirmation,18004,neutral,quarantine_no_local_reservation_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,39,0.05,1,206,281,0,1,0,1,1,0.7818940887646108,0.0014257894470530563,45,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6629668351024363,0.7916785693359236,2.628200000000003,28,3,1,0.00559547400555495,1.0,relational,0.9983390138328008,0.25646973115745175,8.17569997382567e-05,1,1,0,1,1
