focal_seed,donor_seed,stratum,component_shift
30000,30006,5|branch_comp|5|False|ring,6
30001,30013,6|context_comp|7|False|chain,7
30002,30008,5|branch_comp|5|False|dense,1
30003,30015,6|context_comp|7|True|ring,2
30004,30010,5|branch_comp|5|False|chain,9
30005,30017,6|context_comp|7|False|dense,10
30006,30012,5|branch_comp|5|False|ring,4
30007,30019,6|context_comp|7|True|chain,5
30008,30014,5|branch_comp|5|False|dense,12
30009,30021,6|context_comp|7|False|ring,13
30010,30016,5|branch_comp|5|False|chain,7
30011,30023,6|context_comp|7|True|dense,8
30012,30018,5|branch_comp|5|False|ring,2
30013,30025,6|context_comp|7|False|chain,3
30014,30020,5|branch_comp|5|False|dense,10
30015,30027,6|context_comp|7|True|ring,11
30016,30022,5|branch_comp|5|False|chain,5
30017,30029,6|context_comp|7|False|dense,6
30018,30024,5|branch_comp|5|False|ring,13
30019,30031,6|context_comp|7|True|chain,1
30020,30026,5|branch_comp|5|False|dense,8
30021,30033,6|context_comp|7|False|ring,9
30022,30028,5|branch_comp|5|False|chain,3
30023,30035,6|context_comp|7|True|dense,4
30024,30030,5|branch_comp|5|False|ring,11
30025,30037,6|context_comp|7|False|chain,12
30026,30032,5|branch_comp|5|False|dense,6
30027,30039,6|context_comp|7|True|ring,7
30028,30034,5|branch_comp|5|False|chain,1
30029,30041,6|context_comp|7|False|dense,2
30030,30036,5|branch_comp|5|False|ring,9
30031,30043,6|context_comp|7|True|chain,10
30032,30038,5|branch_comp|5|False|dense,4
30033,30045,6|context_comp|7|False|ring,5
30034,30040,5|branch_comp|5|False|chain,12
30035,30047,6|context_comp|7|True|dense,13
30036,30042,5|branch_comp|5|False|ring,7
30037,30049,6|context_comp|7|False|chain,8
30038,30044,5|branch_comp|5|False|dense,2
30039,30051,6|context_comp|7|True|ring,3
30040,30046,5|branch_comp|5|False|chain,10
30041,30053,6|context_comp|7|False|dense,11
30042,30048,5|branch_comp|5|False|ring,5
30043,30055,6|context_comp|7|True|chain,6
30044,30050,5|branch_comp|5|False|dense,13
30045,30057,6|context_comp|7|False|ring,1
30046,30052,5|branch_comp|5|False|chain,8
30047,30059,6|context_comp|7|True|dense,9
30048,30054,5|branch_comp|5|False|ring,3
30049,30061,6|context_comp|7|False|chain,4
30050,30056,5|branch_comp|5|False|dense,11
30051,30063,6|context_comp|7|True|ring,12
30052,30058,5|branch_comp|5|False|chain,6
30053,30065,6|context_comp|7|False|dense,7
30054,30060,5|branch_comp|5|False|ring,1
30055,30067,6|context_comp|7|True|chain,2
30056,30062,5|branch_comp|5|False|dense,9
30057,30069,6|context_comp|7|False|ring,10
30058,30064,5|branch_comp|5|False|chain,4
30059,30071,6|context_comp|7|True|dense,5
30060,30066,5|branch_comp|5|False|ring,12
30061,30001,6|context_comp|7|False|chain,10
30062,30068,5|branch_comp|5|False|dense,7
30063,30003,6|context_comp|7|True|ring,5
30064,30070,5|branch_comp|5|False|chain,2
30065,30005,6|context_comp|7|False|dense,13
30066,30000,5|branch_comp|5|False|ring,7
30067,30007,6|context_comp|7|True|chain,8
30068,30002,5|branch_comp|5|False|dense,2
30069,30009,6|context_comp|7|False|ring,3
30070,30004,5|branch_comp|5|False|chain,10
30071,30011,6|context_comp|7|True|dense,11
