split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,neutral,no_null_confidence_gated_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,0,0.8579363835624327,-0.0014345024617831,42,1,1,1,0.0007380358776541,1,1,1,1,1,1,1,1,0,0,0,0,0.7452049124149619,0.7858493080275998,2.737250000000003,26,3,1,0.0433184817932321,0.8415094249999999,relational,0.976881434459256,3.1925561456238107e-06,1.6781531303022113e-08,0,0,0,1,0
confirmation,18001,neutral,no_null_confidence_gated_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,223,223,1,0,0,1,0,0.8950901741027311,-0.0037847266348974,44,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.7579042449476887,0.8057276464153499,2.830949999999999,27,3,1,0.0023661958257917,1.0,relational,0.9994186099937884,0.011428010819069,1.1953318067102303e-06,0,0,0,1,0
confirmation,18002,neutral,no_null_confidence_gated_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.0538461538461538,1,206,206,1,0,0,1,0,0.7731486966713275,0.0006356028264047,44,1,1,1,0.0007380358776541,1,1,1,1,1,1,1,1,0,0,0,0,0.6980180986632183,0.7528715209073653,2.737250000000003,28,3,0,0.0047877382937959,1.0,relational,0.9986554627252971,0.322925090098512,7.853579726039359e-05,0,0,0,1,0
confirmation,18003,neutral,no_null_confidence_gated_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,223,223,1,0,0,0,0,0.9765968537649762,-0.000731879124785,42,1,1,1,0.0,1,1,1,1,0,1,1,0,0,0,0,0,0.5245090243657247,0.7517057733869178,2.830949999999999,29,3,1,0.0301946244925129,1.0,relational,0.991634041328178,0.0002770202490008,5.32201532715428e-07,0,0,0,1,0
confirmation,18004,neutral,no_null_confidence_gated_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.0525641025641025,1,206,206,1,0,0,1,0,0.7773764373038325,4.82925101221816e-05,43,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6956918921583247,0.8088820474652776,2.737250000000003,30,3,1,0.0055954740055549,1.0,relational,0.9983390138328008,0.2564697311574517,8.17569997382567e-05,0,0,0,1,0
confirmation,18005,neutral,no_null_confidence_gated_generation,"13,0,6,1,8,3",6,dense,m3,m2,p6>p7>p6>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,234,234,1,0,0,1,0,0.8455636708963263,-0.0049443972123431,45,1,1,1,0.0007951512720148,1,1,1,1,1,1,1,1,0,0,0,0,0.7091128086139911,0.7972466990861222,2.830949999999999,31,3,1,0.0342162943368893,1.0,relational,0.9947042399321162,0.0002712431873227,2.986338460012073e-07,0,0,0,1,0
confirmation,18006,neutral,no_null_confidence_gated_generation,"4,0,13,7,9",5,ring,m3,m1,p3>p6>p7,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,41,0.0525641025641025,1,202,202,1,0,0,0,0,0.6993751780447541,0.000241360197616,44,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6304520887025641,0.755781416909892,2.737250000000003,32,3,0,0.0015108799925345,1.0,relational,0.9992316016460632,0.8292483718855355,0.0001161482090607,0,0,0,1,0
confirmation,18007,neutral,no_null_confidence_gated_generation,"8,0,7,3,9,4",6,chain,m2,m0,p0>p1>p0>p5,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,223,223,1,0,0,1,0,0.9806176692451314,-0.0017448859918824,44,1,1,1,0.0002768521404949,1,1,1,1,1,1,1,1,0,0,0,0,0.6837364674218782,0.7882692334669942,2.80785,33,3,1,0.0319610763737568,1.0,relational,0.9944912071973596,0.0005213097189661,5.959826727422548e-07,0,0,0,1,0
confirmation,18008,neutral,no_null_confidence_gated_generation,"13,11,5,0,4",5,dense,m1,m0,p4>p1>p5,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,0,0,4,42,0.0538461538461538,1,206,206,1,0,0,0,0,0.7807553693403984,0.0018390273085409,44,1,1,1,0.0012773294484801,1,1,1,1,1,1,1,1,0,0,0,0,0.5936517178276808,0.763631607786647,2.737250000000003,34,3,1,0.0056795265399144,1.0,relational,0.9973293777628138,0.2325436450686429,0.0001228571721145,0,0,0,1,0
confirmation,18009,neutral,no_null_confidence_gated_generation,"8,7,0,2,6,1",6,ring,m1,m3,p1>p0>p1>p4,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,218,218,1,0,0,1,0,0.8167039994093706,0.0032022102824301,44,1,1,1,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0.6334343172463358,0.7817225042483553,2.830949999999999,35,3,1,0.00064531470979,1.0,relational,0.9989181080246418,0.9045648737652054,0.0001847763562823,0,0,0,1,0
confirmation,18010,neutral,no_null_confidence_gated_generation,"12,8,11,13,2",5,chain,m3,m0,p7>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,0,0,4,41,0.0525641025641025,1,206,206,1,0,0,0,0,0.7866517243404468,0.0014945425519757,44,1,1,1,3.706964896127053e-05,1,1,1,1,1,1,1,1,0,0,0,0,0.624512510241421,0.7420894983647821,2.737250000000003,36,3,1,0.0057380032745593,1.0,relational,0.9984429771817076,0.0192284946367091,5.818557289312871e-06,0,0,0,1,0
