chunk_id,phase,family,seeds,relevance,conditions,common_decoder,expected_source_rows
A000,ablation,correlation_self_model,"30000,30001,30002,30003,30004,30005",self_relevant,correlation_self_model,0,6
A001,ablation,correlation_self_model,"30006,30007,30008,30009,30010,30011",self_relevant,correlation_self_model,0,6
A002,ablation,correlation_self_model,"30012,30013,30014,30015,30016,30017",self_relevant,correlation_self_model,0,6
A003,ablation,correlation_self_model,"30018,30019,30020,30021,30022,30023",self_relevant,correlation_self_model,0,6
A004,ablation,correlation_self_model,"30024,30025,30026,30027,30028,30029",self_relevant,correlation_self_model,0,6
A005,ablation,correlation_self_model,"30030,30031,30032,30033,30034,30035",self_relevant,correlation_self_model,0,6
A006,ablation,correlation_self_model,"30036,30037,30038,30039,30040,30041",self_relevant,correlation_self_model,0,6
A007,ablation,correlation_self_model,"30042,30043,30044,30045,30046,30047",self_relevant,correlation_self_model,0,6
A008,ablation,correlation_self_model,"30048,30049,30050,30051,30052,30053",self_relevant,correlation_self_model,0,6
A009,ablation,correlation_self_model,"30054,30055,30056,30057,30058,30059",self_relevant,correlation_self_model,0,6
A010,ablation,correlation_self_model,"30060,30061,30062,30063,30064,30065",self_relevant,correlation_self_model,0,6
A011,ablation,correlation_self_model,"30066,30067,30068,30069,30070,30071",self_relevant,correlation_self_model,0,6
A012,ablation,no_null,"30000,30001,30002,30003,30004,30005",neutral,no_null,0,6
A013,ablation,no_null,"30006,30007,30008,30009,30010,30011",neutral,no_null,0,6
A014,ablation,no_null,"30012,30013,30014,30015,30016,30017",neutral,no_null,0,6
A015,ablation,no_null,"30018,30019,30020,30021,30022,30023",neutral,no_null,0,6
A016,ablation,no_null,"30024,30025,30026,30027,30028,30029",neutral,no_null,0,6
A017,ablation,no_null,"30030,30031,30032,30033,30034,30035",neutral,no_null,0,6
A018,ablation,no_null,"30036,30037,30038,30039,30040,30041",neutral,no_null,0,6
A019,ablation,no_null,"30042,30043,30044,30045,30046,30047",neutral,no_null,0,6
A020,ablation,no_null,"30048,30049,30050,30051,30052,30053",neutral,no_null,0,6
A021,ablation,no_null,"30054,30055,30056,30057,30058,30059",neutral,no_null,0,6
A022,ablation,no_null,"30060,30061,30062,30063,30064,30065",neutral,no_null,0,6
