split,seed,relevance,mode,core_indices,core_size,topology,causal_mechanism,nuisance_mechanism,true_program,program_length,grammar_family,role_program,label_permuted,primitive_cardinality,active_roles,nonstationary,steps_survived,alive_at_end,completion_rate,core_precision,core_recall,exact_program,functional_program,max_sequence_length_tested,unique_sequences_evaluated,search_space_fraction,diagnosis_made,diagnosis_observations,restoration_observations,diagnosis_kind_bridge,explicit_no_bridge,false_null,mechanism_correct,bridge_decision_correct,suppression,bridge_effect,evidence_rows,tested_scope_declared,validation_attempted,validation_passed,validation_effect,repair_attempted,repair_attempt_count,false_repair,repair_correct,organization_restored,replication_attempted,replication_success,replicated_restoration,failed_repairs,appropriate_abstention,scientific_null_result,decision_correct,final_min_core,final_mean_core,total_cost,crossworld_successes,crossworld_templates,macro_reuse,relational_alignment_cost,memory_energy,memory_strategy,alignment_entropy,alignment_support,mapping_trust,memory_proposal_tested,memory_changed_action,wrong_memory_detected_before_repair,local_beam_reserved,quarantined_count
confirmation,18000,self_relevant,frozen_correct_memory_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,1,0.8579363835624327,0.008105428226925771,42,1,1,1,0.024245907870124133,1,1,0,1,1,1,1,1,0,0,0,1,0.785611207751651,0.8437574001756178,2.737250000000003,25,4,0,0.052812789030559276,0.6797049999999999,relational,0.976881434459256,3.1925561456238107e-06,1.3554798550617117e-08,0,0,0,1,0
confirmation,18000,neutral,frozen_correct_memory_generation,"4,2,9,6,7",5,ring,m2,m0,p1>p6>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,41,0.052564102564102565,1,218,281,0,1,0,1,1,0.8573027042458843,-0.0007877165327210035,46,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7308423044037246,0.7700102519532253,2.6568500000000035,25,4,0,0.052812789030559276,0.6797049999999999,relational,0.976881434459256,3.1925561456238107e-06,1.3554798550617117e-08,0,0,0,1,0
confirmation,18001,self_relevant,frozen_correct_memory_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,223,223,1,0,0,1,1,0.8950901741027311,0.013721540814896578,44,1,1,1,0.027798660120555995,1,1,0,1,1,1,1,1,0,0,0,1,0.7688343492820631,0.8587221068357808,2.830949999999999,25,4,0,0.004021003191757564,0.6797049999999999,relational,0.9994186099937885,0.011428010819069016,8.124730056799772e-07,0,0,0,1,0
confirmation,18001,neutral,frozen_correct_memory_generation,"9,13,11,6,1,10",6,chain,m0,m3,p3>p6>p3>p0,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,0,280,1,1.0,1.0,0.8333333333333334,1,1,4,49,0.0175,1,227,281,0,1,0,1,1,0.8950901741027311,-0.0037847266348974913,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.7439504701983162,0.7947227291381469,2.7485499999999994,25,4,0,0.004021003191757564,0.6797049999999999,relational,0.9994186099937885,0.011428010819069016,8.124730056799772e-07,0,0,0,1,0
confirmation,18002,self_relevant,frozen_correct_memory_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.05384615384615385,1,206,206,1,0,0,1,1,0.7731486966713275,0.012182105905697727,44,1,1,1,0.024213635458644425,1,1,0,1,1,1,1,1,0,0,0,1,0.7629311071257066,0.8099633315510504,2.737250000000003,25,4,1,0.006053903302969685,0.6797049999999999,relational,0.9986554627252973,0.322925090098512,5.338117407687581e-05,0,0,0,1,0
confirmation,18002,neutral,frozen_correct_memory_generation,"5,3,6,7,8",5,dense,m0,m3,p4>p0>p3,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,1.0,1.0,1,1,4,42,0.05384615384615385,1,212,281,0,1,0,1,1,0.7731486966713275,0.0006356028264047865,44,1,1,0,3.706964896127053e-05,0,0,0,0,0,0,0,0,0,1,1,1,0.6871439682779827,0.7409042381101256,2.6812500000000035,25,4,1,0.006053903302969685,0.6797049999999999,relational,0.9986554627252973,0.322925090098512,5.338117407687581e-05,0,0,0,1,0
confirmation,18003,self_relevant,frozen_correct_memory_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,1,1,4,49,0.0175,1,227,227,1,0,0,1,1,0.8363895964154432,0.013847756337467362,48,1,1,1,0.028293195283676246,1,1,0,1,1,1,1,1,0,0,0,1,0.7672164577403232,0.8421252581698065,2.830949999999999,25,4,0,0.039017166301077544,0.6797049999999999,relational,0.991634041328178,0.00027702024900081704,3.617400427943399e-07,0,0,0,1,0
confirmation,18003,neutral,frozen_correct_memory_generation,"7,12,1,9,0,4",6,ring,m1,m2,p2>p5>p2>p6,4,context_comp,A>B>A>C,1,7,A>B>C>D>E>F>X,1,280,1,1.0,1.0,1.0,0,0,4,49,0.0175,1,230,281,0,1,0,0,1,0.976598132519407,-0.0001680475715128268,44,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.5048878926889042,0.7382428398820483,2.7485499999999994,25,4,0,0.039017166301077544,0.6797049999999999,relational,0.991634041328178,0.00027702024900081704,3.617400427943399e-07,0,0,0,1,0
confirmation,18004,self_relevant,frozen_correct_memory_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.052564102564102565,1,206,206,1,0,0,1,1,0.7773764373038325,0.009617479206256675,44,1,1,1,0.02735433060872122,1,1,0,1,1,1,1,1,0,0,0,1,0.7542549191381629,0.8459608183678388,2.737250000000003,25,4,1,0.006456859499414292,0.6797049999999999,relational,0.9983390138328008,0.25646973115745175,5.5570641507091756e-05,0,0,0,1,0
confirmation,18004,neutral,frozen_correct_memory_generation,"7,8,13,9,4",5,chain,m0,m3,p1>p3>p2,3,branch_comp,A>C>B,1,5,A>B>C>D>E,0,280,1,1.0,0.7142857142857143,1.0,1,1,4,41,0.052564102564102565,1,248,281,0,1,0,1,1,0.796309215311156,0.0003543084740739843,56,1,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.6611476675548678,0.7910644878111719,2.6568500000000035,25,4,1,0.006456859499414292,0.6797049999999999,relational,0.9983390138328008,0.25646973115745175,5.5570641507091756e-05,0,0,0,1,0
